fullFilename,name,path,size,date,
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs\07_landscape_initial_start_point14_beach1.PNG","07_landscape_initial_start_point14_beach1.PNG","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs","1061157","2019-07-17 19:26:47",
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs\07_landscape_initial_start_point6.PNG","07_landscape_initial_start_point6.PNG","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs","930273","2019-07-15 23:02:54",
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs\Checklist for building a business website.txt","Checklist for building a business website.txt","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs","5122","2020-06-05 21:46:35",
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs\Different ways to use folders to store your data.txt","Different ways to use folders to store your data.txt","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\blogs","4505","2020-06-05 21:45:04",
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\ideas\Different ways to use folders to store your data.txt","Different ways to use folders to store your data.txt","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\ideas","4531","2020-06-07 09:56:42",
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\recipes\Sausage Rolls with Shortcrust Pastry.txt","Sausage Rolls with Shortcrust Pastry.txt","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\recipes","1931","2020-06-05 21:54:30",
"D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\work\TODO - setup wiki pages.txt","TODO - setup wiki pages.txt","D:\dev\src\lifepim\lifepim\SAMPLE_DATA\DATA\work","318","2020-06-05 21:50:40",
