4,3330,e_dtime_fileusage,e_dtime,File Usage,Log of when a file was last updated,N:\data\fileusage.dat
4,3340,e_dtime_reminder,e_dtime,Reminder for specific date time,Reminder to do something at a certain Date at certain time,N:\data\reminder_date.dat
2,4000,actor,root,Actor,"WHO - a person, user, owner of running task",
3,4100,a_person,actor,Person,a person,
3,4200,a_user,actor,User,"a digital user on a system, usually with logon credentials - may be person, bot",
3,4300,a_software,actor,Software Agent,a program that runs tasks,
2,5000,fact,root,Fact,"WHY - information such as filters, areas, descriptive details - to show reasons things are done",
3,5100,f_fltr,fact,Filter,A Filter applied to data (usually from category),
3,5200,f_ref,fact,Reference List,A list of information for reference files,
3,5300,f_info,fact,Information,"A piece of information - can be a word, sentence, paragraph",
3,5400,f_cat,fact,Category,a list of categories to allow for filtering / grouping,
4,5410,f_cat_country,f_cat,Country,Database of countries in the world,https://github.com/acutesoftware/rawdata/blob/master/rawdata/data/world/country.csv
4,5420,f_cat_color,f_cat,Colours,List of colours,https://github.com/acutesoftware/rawdata/blob/master/rawdata/data/TODO_colour.csv
3,5500,f_pim,fact,Personal Information,"data in a PIM (Personal Information Mananger) - notes, tasks, events, etc",
4,5510,f_pim_note,f_pim,PIM - Notes,Notes in a PIM,tbl_notes
4,5520,f_pim_task,f_pim,PIM - Tasks,Tasks in a PIM,tbl_tasks  
4,5530,f_pim_event,f_pim,PIM - Calendar,Calendar events in a PIM ,tbl_events
4,5540,f_pim_place,f_pim,PIM - Places,Locations in a PIM,tbl_locations
4,5550,f_pim_data,f_pim,PIM - Data,Data tables in a PIM,tbl_data  
4,5560,f_pim_badge,f_pim,PIM - Badges,Badges and Achievements in a PIM,tbl_achievements
4,5570,f_pim_money,f_pim,PIM - Money,Money in a PIM ,tbl_money
4,5580,f_pim_media,f_pim,PIM - Media,Music in a PIM,tbl_media
4,5590,f_pim_file,f_pim,PIM - Files,Files in a PIM ,tbl_files
4,5600,f_pim_app,f_pim,PIM - Apps,Apps in a PIM,tbl_apps
4,5610,f_pim_cont,f_pim,PIM - Contacts,Contacts in a PIM,tbl_contacts
4,5620,f_pim_opt,f_pim,PIM - Options,Settings and Options for a PIM,tbl_options
2,6000,where,root,Where,A location in the world or virtual system,
3,6100,w_url,where,"URL to Website, Folder or File","A link to a File, Folder or Website (UNC)",
3,6110,w_file,where,File,File on computer or phone,
3,6120,w_folder,where,Folder,Folder on computer or phone,
3,6200,w_alias,where,Alias for Locations,List of friendly (known as) names,
4,6210,w_alias_alrona,w_alias,Alias for Sanct Game Locations,List of friendly (known as) names,https://github.com/acutesoftware/worldbuild/blob/master/worldbuild/data/locations.csv
4,6220,w_alias_my,w_alias,Alias for MY Home Locations,List of friendly (known as) names that I use,"Shops, Pub, Work, Home, - linked to actual addresses"
5,6221,w_alias_my_home,w_alias_my,Home,"Glenelg, South Australia",todo - gps coords
5,6222,w_alias_my_work,w_alias_my,Work,University in Town,todo - gps coords
5,6223,w_alias_my_shop,w_alias_my,Shop,Coles down the street,todo - gps coords
5,6224,w_alias_my_cafe,w_alias_my,Coffee Shop,Local Cafe,todo - gps coords
5,6225,w_alias_my_pub,w_alias_my,Pub,Local Pub,todo - gps coords
5,6226,w_alias_my_foodchinese,w_alias_my,Chinese Takeway,Local Chinese Takeway,todo - gps coords
5,6227,w_alias_my_foodindian,w_alias_my,Indian Restaurant,Local Indian Restaurant,todo - gps coords
5,6228,w_alias_my_dr,w_alias_my,Doctors,Local Doctor,todo - gps coords
